Type,Year,AUT,CAN,DEU,FRA,ITA,JAM,SGP,THA,WLD
FR,2000,1.36,1.49,1.38,1.89,1.26,2.58,1.60,1.67,2.67
FR,2001,1.33,1.51,1.35,1.90,1.25,2.53,1.41,1.64,2.64
FR,2002,1.39,1.52,1.34,1.88,1.27,2.48,1.37,1.62,2.62
FR,2003,1.38,1.53,1.34,1.89,1.29,2.44,1.27,1.60,2.60
FR,2004,1.42,1.53,1.36,1.92,1.34,2.40,1.26,1.58,2.59
FR,2005,1.41,1.54,1.34,1.94,1.34,2.36,1.26,1.57,2.57
FR,2006,1.41,1.59,1.33,2.00,1.37,2.33,1.28,1.56,2.56
FR,2007,1.38,1.66,1.37,1.98,1.40,2.29,1.29,1.56,2.55
FR,2008,1.42,1.68,1.38,2.01,1.45,2.25,1.28,1.55,2.54
FR,2009,1.39,1.67,1.36,2.00,1.45,2.21,1.22,1.55,2.52
FR,2010,1.44,1.63,1.39,2.03,1.46,2.17,1.15,1.55,2.51
FR,2011,1.43,1.61,1.39,2.01,1.44,2.14,1.20,1.54,2.49
FR,2012,1.44,1.61,1.41,2.01,1.43,2.10,1.29,1.53,2.48
FR,2013,1.44,1.59,1.42,1.99,1.39,2.07,1.19,1.52,2.47
FR,2014,1.47,1.58,1.47,2.01,1.37,2.05,1.25,1.51,2.46
FR,2015,1.49,1.60,1.50,1.96,1.35,2.03,1.24,1.50,2.45
FR,2016,1.49,1.60,1.50,1.96,1.35,2.01,1.20,1.48,2.44
LE,2000,78.13,79.24,77.93,79.06,79.78,72.33,77.95,70.62,67.68
LE,2001,78.58,79.49,78.33,79.16,80.13,72.49,78.25,70.84,67.98
LE,2002,78.68,79.59,78.23,79.26,80.23,72.68,78.55,71.11,68.25
LE,2003,78.63,79.84,78.38,79.11,79.98,72.91,79.04,71.42,68.52
LE,2004,79.18,80.14,78.68,80.16,80.78,73.17,79.49,71.78,68.86
LE,2005,79.33,80.29,78.93,80.16,80.78,73.45,79.99,72.15,69.14
LE,2006,79.88,80.29,79.13,80.81,81.28,73.74,80.14,72.53,69.47
LE,2007,80.18,80.54,79.53,81.11,81.43,74.04,80.44,72.92,69.79
LE,2008,80.43,80.70,79.74,81.21,81.49,74.33,80.79,73.28,70.08
LE,2009,80.33,80.95,79.84,81.41,81.64,74.62,81.24,73.62,70.41
LE,2010,80.58,81.20,79.99,81.66,82.04,74.88,81.54,73.92,70.68
LE,2011,80.98,81.45,80.44,82.11,82.19,75.12,81.74,74.20,70.97
LE,2012,80.94,81.58,80.54,81.97,82.24,75.33,82.00,74.45,71.22
LE,2013,81.14,81.77,80.49,82.22,82.69,75.52,82.25,74.68,71.46
LE,2014,81.49,81.95,81.09,82.67,83.09,75.69,82.50,74.90,71.69
LE,2015,81.19,82.13,80.64,82.27,82.54,75.84,82.74,75.10,71.86
LE,2016,80.89,82.30,80.64,82.27,82.54,75.97,82.80,75.30,72.04
Population,2000,8011566.00,30769700.00,82211508.00,60912500.00,56942108.00,2656864.00,4027887.00,62958021.00,6121682741.00
Population,2001,8042293.00,31081900.00,82349925.00,61357430.00,56974100.00,2677011.00,4138012.00,63543322.00,6201340848.00
Population,2002,8081957.00,31362000.00,82488495.00,61805267.00,57059007.00,2695446.00,4175950.00,64073164.00,6280531847.00
Population,2003,8121423.00,31676000.00,82534176.00,62244886.00,57313203.00,2712511.00,4114826.00,64554952.00,6359901308.00
Population,2004,8171966.00,31995000.00,82516260.00,62704895.00,57685327.00,2728777.00,4166664.00,65002231.00,6439827446.00
Population,2005,8227829.00,32312000.00,82469422.00,63179351.00,57969484.00,2744673.00,4265762.00,65425470.00,6520301437.00
Population,2006,8268641.00,32570505.00,82376451.00,63621381.00,58143979.00,2760279.00,4401365.00,65824164.00,6601480650.00
Population,2007,8295487.00,32887928.00,82266372.00,64016227.00,58438310.00,2775467.00,4588599.00,66195615.00,6683228246.00
Population,2008,8321496.00,33245773.00,82110097.00,64374989.00,58826731.00,2790122.00,4839396.00,66545760.00,6766302523.00
Population,2009,8343323.00,33628571.00,81902307.00,64707044.00,59095365.00,2804082.00,4987573.00,66881867.00,6849573246.00
Population,2010,8363404.00,34005274.00,81776930.00,65027507.00,59277417.00,2817210.00,5076732.00,67208808.00,6932880892.00
Population,2011,8391643.00,34342780.00,80274983.00,65342775.00,59379449.00,2829493.00,5183688.00,67530130.00,7014998805.00
Population,2012,8429991.00,34750545.00,80425823.00,65659789.00,59539717.00,2840992.00,5312437.00,67843979.00,7099548883.00
Population,2013,8479375.00,35152370.00,80645605.00,65998573.00,60233948.00,2851807.00,5399162.00,68143065.00,7185078354.00
Population,2014,8541575.00,35535348.00,80982500.00,66331958.50,60789140.00,2862087.00,5469724.00,68416772.00,7271228017.50
Population,2015,8633169.00,35832513.00,81686611.00,66624068.00,60730582.00,2871934.00,5535002.00,68657600.00,7357369754.00
Population,2016,8731471.00,36264604.00,82487842.00,66892205.00,60627498.00,2881355.00,5607283.00,68863514.00,7444027227.00
